ID,Country,ISO3,Unit,CTS_Name,Year,Month,Value
1,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1958,03,315.7
2,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1958,04,317.45
3,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1958,05,317.51
4,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1958,06,317.24
5,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1958,07,315.86
6,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1958,08,314.93
7,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1958,09,313.2
8,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1958,10,312.43
9,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1958,11,313.33
10,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1958,12,314.67
11,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1959,01,315.58
12,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1959,02,316.48
13,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1959,03,316.65
15,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1959,04,317.72
17,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1959,05,318.29
19,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1959,06,318.15
21,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1959,07,316.54
23,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1959,08,314.8
25,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1959,09,313.84
27,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1959,10,313.33
29,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1959,11,314.81
31,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1959,12,315.58
33,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1960,01,316.43
35,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1960,02,316.98
37,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1960,03,317.58
39,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1960,04,319.03
41,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1960,05,320.04
43,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1960,06,319.59
45,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1960,07,318.18
47,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1960,08,315.9
49,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1960,09,314.17
51,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1960,10,313.83
53,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1960,11,315
55,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1960,12,316.19
57,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1961,01,316.89
59,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1961,02,317.7
61,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1961,03,318.54
63,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1961,04,319.48
65,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1961,05,320.58
67,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1961,06,319.77
69,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1961,07,318.57
71,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1961,08,316.79
73,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1961,09,314.99
75,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1961,10,315.31
77,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1961,11,316.1
79,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1961,12,317.01
81,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1962,01,317.94
83,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1962,02,318.55
85,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1962,03,319.68
87,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1962,04,320.57
89,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1962,05,321.02
91,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1962,06,320.62
93,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1962,07,319.61
95,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1962,08,317.4
97,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1962,09,316.25
99,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1962,10,315.42
101,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1962,11,316.69
103,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1962,12,317.7
105,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1963,01,318.74
107,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1963,02,319.07
109,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1963,03,319.86
111,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1963,04,321.38
113,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1963,05,322.25
115,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1963,06,321.48
117,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1963,07,319.74
119,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1963,08,317.77
121,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1963,09,316.21
123,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1963,10,315.99
125,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1963,11,317.07
127,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1963,12,318.35
129,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1964,01,319.57
131,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1964,02,320.01
133,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1964,03,320.74
135,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1964,04,321.84
137,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1964,05,322.26
139,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1964,06,321.89
141,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1964,07,320.44
143,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1964,08,318.69
145,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1964,09,316.7
147,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1964,10,316.87
149,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1964,11,317.68
151,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1964,12,318.71
153,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1965,01,319.44
155,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1965,02,320.44
157,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1965,03,320.89
159,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1965,04,322.14
161,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1965,05,322.17
163,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1965,06,321.87
165,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1965,07,321.21
167,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1965,08,318.87
