date,time,city,country,shape,duration (seconds)
10/10/1949,20:30,san marcos,us,cylinder,2700
10/10/1949,21:00,lackland afb,,light,7200
10/10/1955,17:00,chester (uk/england),gb,circle,20
10/10/1956,21:00,edna,us,circle,20
10/10/1960,20:00,kaneohe,us,light,900
10/10/1961,19:00,bristol,us,sphere,300
10/10/1965,21:00,penarth (uk/wales),gb,circle,180
10/10/1965,23:45,norwalk,us,disk,1200
10/10/1966,20:00,pell city,us,disk,180
10/10/1966,21:00,live oak,us,disk,120
10/10/1968,13:00,hawthorne,us,circle,300
10/10/1968,19:00,brevard,us,fireball,180
10/10/1970,16:00,bellmore,us,disk,1800
10/10/1970,19:00,manchester,us,unknown,180
10/10/1971,21:00,lexington,us,oval,30
10/10/1972,19:00,harlan county,us,circle,1200
10/10/1972,22:30,west bloomfield,us,disk,120
10/10/1973,19:00,niantic,us,disk,1800
10/10/1973,23:00,bermuda nas,,light,20
10/10/1974,19:30,hudson,us,other,2700
10/10/1974,21:30,cardiff (uk/wales),gb,disk,1200
10/10/1974,23:00,hudson,us,light,1200
10/10/1975,17:00,north charleston,us,light,360
10/10/1976,20:30,washougal,us,oval,60
10/10/1976,22:00,stoke mandeville (uk/england),gb,cigar,3
10/10/1977,12:00,san antonio,us,other,30
10/10/1977,22:00,louisville,us,light,30
10/10/1978,02:00,elmont,us,rectangle,300
10/10/1979,00:00,poughkeepsie,us,chevron,900
10/10/1979,22:00,saddle lake (canada),,triangle,270
10/10/1979,22:00,san diego,us,oval,180
10/10/1979,22:00,security,us,unknown,1800
10/10/1980,19:00,houston,us,sphere,180
10/10/1980,22:00,dallas,us,unknown,300
10/10/1980,23:30,manchester,us,light,300
10/10/1982,07:00,gisborne (new zealand),,disk,120
10/10/1984,05:00,houston,us,circle,60
10/10/1984,12:00,traverse city,us,other,120
10/10/1984,22:00,white plains,us,formation,20
10/10/1985,20:25,leeds (uk/england),gb,triangle,600
10/10/1986,20:00,holmes/pawling,,chevron,180
10/10/1988,18:00,milwaukee,us,triangle,600
10/10/1988,21:00,new gloucester,us,unknown,120
10/10/1988,22:00,boulder,us,light,60
10/10/1988,22:45,seattle (ballard area),us,unknown,2
10/10/1989,00:00,calabasas,us,disk,300
10/10/1989,21:00,centralia,us,triangle,60
10/10/1989,21:00,kranklin,,triangle,180
10/10/1990,21:00,ashburn,us,triangle,120
10/10/1991,22:00,frisco,us,unknown,1800
10/10/1991,22:00,harrisburg,us,triangle,600
10/10/1992,17:00,panama city,us,formation,3600
10/10/1992,18:00,stafford,us,unknown,10
10/10/1992,20:15,seymour,us,cigar,60
10/10/1992,22:00,weatherford,us,unknown,30
10/10/1993,03:00,zlatoust (russia),,sphere,1200
10/10/1993,22:00,peoria,us,light,8
10/10/1993,23:00,carthage,us,other,60
10/10/1994,15:00,mercedies,,cigar,3600
10/10/1994,18:30,burnt hills,us,rectangle,120
10/10/1994,22:00,pinebergen,us,light,5
